Qid,Question,Cognitive Category,Knowledge Category,Knowledge Units
Q100,What are the disadvantages of the water fall model ?,Remember,Conceptual,Software Processes
Q101,Explain the data flow diagram with an example.,Understand,Procedural,Software Design
Q102,Explain the elements of an analysis model.,Understand,Conceptual,Software Processes
Q103,Give the use case diagram for ‘Library book issue system’. Write the scope of the system.,Apply,Procedural,Software Design
Q104,Explain the elements of an activity diagram with an example.,Understand,Conceptual,Software Design
Q105,Explain any two architectural styles.,Understand,Conceptual,Software Design
Q106,Explain modularity and information hiding in software design.,Understand,Conceptual,Software Design
Q107,What is component level design ?,Remember,Conceptual,Software Design
Q108,Explain the user interface design process.,Understand,Procedural,Software Design
Q109,How functional independence is achieved in software design ?,Understand,Conceptual,Software Design
Q110,What do you mean by application accessibility and internationalization in user interface design ?,Remember,Conceptual,Software Design
Q111,What is software testing ? Explain the software testing strategies.,Understand,Conceptual,Software Verification and Validation
Q112,How test cases are derived in basis path testing ?,Evaluate,Procedural,Software Verification and Validation
Q113,What do you mean by performance testing ?,Remember,Conceptual,Software Verification and Validation
Q114,Explain and compare incremental integration testing strategies.,Understand,Conceptual,Software Verification and Validation
Q115,Explain the debugging tactics.,Understand,Conceptual,Software Verification and Validation
Q116,What is acceptance testing ?,Remember,Conceptual,Software Verification and Validation
Q117,Explain the function point method for estimation.,Understand,Procedural,Software Project Management
Q118,Explain the Make-buy decision with an example.,Understand,Procedural,Software Project Management
Q119,How problem based estimation is carried out ? Explain with an example.,Understand,Procedural,Software Project Management
Q120,Give different team structures for software development team.,Remember,Factual,Software Project Management
Q121,Explain the following in brief. i) Risk assessment ii) SCM repository.,Understand,Conceptual,Software Project Management
Q122,What is work break down structure ? How this is used in task network of project scheduling ?,Apply,Conceptual,Software Project Management
Q123,Explain any four quality measures of software.,Understand,Conceptual,Software Project Management
Q124,Explain the tracking of software development schedule.,Understand,Conceptual,Software Project Management
Q125,What do you mean by software myths ? State the myths and facts for software developer.,Remember,Factual,Software Processes
Q126,Explain the prototyping model with its advantages and disadvantages.,Understand,Conceptual,Software Processes
Q127,State the activities of spiral model.,Remember,Conceptual,Software Processes
Q128,Explain the water fall model with V model.,Understand,Conceptual,Software Processes
Q129,Explain the component development model with activities.,Understand,Procedural,Software Processes
Q130,Give the need of different process models in software development.,Evaluate,Procedural,Software Processes
Q131,Explain the analysis model elements with models created in each.,Understand,Conceptual,Software Processes
Q132,State and explain any four requirements engineering tasks.,Understand,Conceptual,Requirements Engineering
Q133,"Give the actors, use cases and use case diagram for “Online mobile order and purchase system”. Write the scope of the system.",Apply,Procedural,Software Design
Q134,Explain the elements of Data flow diagram with an example.,Understand,Procedural,Software Design
Q135,Explain the architectural context diagram with an example.,Understand,Conceptual,Software Design
Q136,Explain the types of design classes.,Understand,Conceptual,Software Design
Q137,Differentiate between design and architecture,Analyze,Conceptual,Software Design
Q138,State and explain any four design principles.,Understand,Conceptual,Software Design
Q139,Explain the user interface design process.,Understand,Procedural,Software Design
Q140,What is layered architecture ?,Remember,Factual,Software Design
Q141,What is software testing ? Explain the software testing strategy for software development.,Understand,Procedural,Software Verification and Validation
Q142,Explain the debugging process.,Understand,Conceptual,Software Verification and Validation
Q143,What is the need of stubs and drivers in software testing ?,Remember,Conceptual,Software Verification and Validation
Q144,Explain the integration testing approaches.,Understand,Conceptual,Software Verification and Validation
Q145,What do you mean by performance testing and recovery testing ?,Understand,Conceptual,Software Verification and Validation
Q146,Differentiate between verification and validation.,Understand,Procedural,Software Verification and Validation
Q147,Explain the computation of function point metric for project estimation with an example.,Understand,Conceptual,Software Project Management
Q148,Explain any four quality measures of software.,Understand,Conceptual,Software Project Management
Q149,What is LOC based estimation ? Explain with an example,Understand,Conceptual,Software Project Management
Q150,Explain COCOMO model for project estimation.,Understand,Procedural,Software Project Management
Q151,Write short notes for the following : i) Risk table ii) Change control process.,Understand,Conceptual,Software Project Management
Q152,Explain the software configuration management process.,Understand,Conceptual,Tools and Environments
Q153,What is a task network ? How it is used in scheduling of software project ?,Understand,Procedural,Software Project Management
Q154,Explain the risk identification and assessment process for a software project,Understand,Procedural,Software Project Management
Q155,What do you mean by working and throwaway prototypes? Explain how they are used in prototyping model? ,Understand,Conceptual,Software Processes
Q156,Explain the water fall model with its advantages and disadvantages. ,Understand,Conceptual,Software Processes
Q157,State the generic process framework activities. ,Remember,Conceptual,Software Processes
Q158,Explain the phases of unified process model. ,Understand,Procedural,Software Processes
Q159,State the myths of the practitioner and the realities.,Remember,Factual,Software Processes
Q160,Why is the formal methods model used in critical software development?,Analyze,Conceptual,Software Processes
Q161,Explain the scenario based modeling with an example.,Understand,Conceptual,Software Processes
Q162,Give the scope and modeling of association and dependencies between the classes for a Payroll Management System.,Analyze,Procedural,Software Design
Q163,State and explain the methods for eliciting requirements. ,Understand,Procedural,Requirements Engineering
Q164, What is the significance of data flow modeling? Create level one DFD for an ATM system.,Create,Procedural,Software Design
Q165,"Explain the quality attributes, considered in software design.",Understand,Conceptual,Software Design
Q166,What are the characteristics of a well formed design class?,Remember,Procedural,Software Design
Q167,Differentiate between abstraction and refinement.,Understand,Conceptual,Software Design
Q168,Explain the user interface design steps. ,Understand,Procedural,Software Design
Q169,What are the design principles for reducing the user's memory load in user interface design? ,Create,Procedural,Software Design
Q170, Explain in brief call and return architecture. ,Understand,Conceptual,Software Design
Q171,What is unit testing? Explain the unit testing process. ,Understand,Conceptual,Software Verification and Validation
Q172,Explain the strategic approach to software testing.,Understand,Procedural,Software Verification and Validation
Q173,Compare the software testing with debugging.  ,Analyze,Procedural,Software Verification and Validation
Q174,Basis path testing is covers all statements in a program module. Justify with example. ,Evaluate,Procedural,Software Verification and Validation
Q175,Explain any two system testing methods. ,Understand,Conceptual,Software Verification and Validation
Q176,Differentiate between white box and black box testing.,Understand,Conceptual,Software Verification and Validation
Q177,What do you mean by software project estimation? Explain the process based estimation with an example.,Apply,Procedural,Software Project Management
Q178,Explain defect removal efficiency as a metric for project and process.,Apply,Procedural,Software Project Management
Q179,What is empirical estimation model? Explain with any one technique.,Understand,Procedural,Software Project Management
Q180,Explain the decision tree technique for make/buy decision. ,Understand,Procedural,Software Project Management
Q181,Write short notes for the following : i)  Risk identification.  ii) Software configuration process.,Understand,Conceptual,Software Project Management
Q182,Discuss the techniques used in tracking the project schedule.,Understand,Procedural,Software Project Management
Q183,What is time line chart? How it is used in scheduling of software  project?,Apply,Procedural,Software Project Management
Q184,Explain the change control process in software configuration process.,Understand,Conceptual,Tools and Environments
Q185,Define software engineering. What are the software characteristics ? What are the various categories of software ?,Remember,Factual,Software Processes
Q186,State and explain customer’s myths.,Remember,Factual,Software Processes
Q187,Explain in detail software crises.,Understand,Factual,Software Processes
Q188,What is software process model ? Explain the incremental process model.,Understand,Conceptual,Software Processes
Q189,Explain in detail process pattern.,Understand,Procedural,Software Processes
Q190,What are the management myths ?,Remember,Factual,Software Processes
Q191,Explain the scenario based elements of analysis model in detail.,Understand,Procedural,Software Processes
Q192,Explain in detail requirement engineering task.,Understand,Conceptual,Requirements Engineering
Q193,What are the characteristics that requirement must meet ?,Remember,Factual,Requirements Engineering
Q194,Draw and explain the traceability table for requirement management.,Understand,Procedural,Requirements Engineering
Q195,Describe two real time situation in which the customer and the end-user is same. Describe two situation in which they are different.,Analyze,Procedural,Software Reliability
Q196,What are the design quality guidelines ?,Remember,Factual,Software Design
Q197,What are the elements in data design ? What are the guidelines for the data design ?,Understand,Conceptual,Software Design
Q198,Explain the Web Application Architecture.,Understand,Conceptual,Software Design
Q199,What are the interface design principles and guidelines ?,Understand,Conceptual,Software Design
Q200,What is importance of testing practices ? What are the principles of testing practices ?,Understand,Procedural,Software Verification and Validation
Q201,Explain in detail : 1) Top-down integration testing 2) Bottom-up testing.,Understand,Procedural,Software Verification and Validation
Q202,What is cyclomatic complexity ? How is it determined for a flow graph ? Illustrate with example.,Apply,Procedural,Software Verification and Validation
Q203,Explain following testing types 1) Validation testing  2) Acceptance testing  3) Smoke testing process.,Understand,Procedural,Software Verification and Validation
Q204,What are the categories of stakeholders ? What are the characteristics of effective project manager ?,Remember,Factual,Software Project Management
Q205,What are the attributes of effective software metrics ? Explain in detail Defect Removal Efficiency.,Understand,Conceptual,Software Project Management
Q206,How do you measure software quality in terms of maintainability and integrity ?,Evaluate,Procedural,Software Evolution
Q207,What is Object Oriented metric ?,Remember,Factual,Software Project Management
Q208,Explain size oriented metric ? What data should we collect to derive size oriented metrics ?,Understand,Procedural,Software Project Management
Q209,What are the software quality factors ? Explain any four.,Understand,Factual,Software Project Management
Q210,What are the types of risks ? Explain in brief.,Understand,Factual,Software Project Management
Q211,What is configuration audit ? What is status reporting ?,Remember,Factual,Tools and Environments
Q212,Write short note on :  1) RMMM   2) Change control process,Understand,Conceptual,Tools and Environments
Q213,Explain the waterfall model with work products of each activity.,Understand,Procedural,Software Processes
Q214,What is Software Engineering? Explain the layered approach to Software Engineering.,Understand,Conceptual,Software Processes
Q215,Explain the following terms in brief. 1. Software Crisis  2. Legacy Software 3. Stakeholder 4. Software myth,Understand,Factual,Software Processes
Q216,Compare the agile and evolutionary process models with a specific process model for each.,Analyze,Procedural,Software Processes
Q217,"Create the swimlane diagram for, monitoring of sensor in a Safehome security system’ from control panel.",Create,Procedural,Software Project Management
Q218,How use cases are used in modeling requirements?,Apply,Factual,Requirements Engineering
Q219,What are the workproducts of Elicitation?,Remember,Factual,Requirements Engineering
Q220,Explain the elements of requirements model.,Understand,Conceptual,Requirements Engineering
Q221,How do you model the data objects?,Create,Procedural,Software Design
Q222,Write a CRC for the class ‘Email system user’.,Create,Procedural,Software Construction
Q223,Explain the following design concepts. i. Refinement ii. Modularity iii. Architecture,Understand,Conceptual,Software Design
Q224,Explain the elements of design model.,Understand,Conceptual,Software Design
Q225,Compare data flow and data centered architecture.,Analyze,Procedural,Software Design
Q226,Give the architecture context diagram for room temperature monitor system.,Create,Procedural,Software Design
Q227,Explain the following.  i. Smoke testing ii. Regression Testing,Understand,Conceptual,Software Verification and Validation
Q228,Explain the debugging process.,Understand,Procedural,Software Verification and Validation
Q229,How do you ensure the completion of testing?,Evaluate,Procedural,Software Verification and Validation
Q230,Explain the graph matrix and loop testing methods.,Understand,Procedural,Software Verification and Validation
Q231,How Object oriented testing differs from conventional testing strategies?,Analyze,Conceptual,Software Verification and Validation
Q232,What do you mean by acceptance testing?,Understand,Conceptual,Software Verification and Validation
Q233,Differentiate between measure and metric. What is GQM paradigm for software measurement?,Understand,Conceptual,Software Project Management
Q234,How do you calculate FP and how it is used in estimation of a software project?,Apply,Procedural,Software Project Management
Q235,"Explain the role of people, process and product in project Management.",Understand,Conceptual,Software Project Management
Q236,How do you measure quality of software? Explain with any two quality metrics.,Apply,Procedural,Software Project Management
Q237,Explain the risk identification and assessment activities.,Understand,Conceptual,Software Project Management
Q238,How task network is used in scheduling of a software project?,Apply,Conceptual,Software Project Management
Q239,Explain the software configuration management process.,Understand,Procedural,Tools and Environments
Q240,Explain how do you track the progress of an object oriented project?,Understand,Procedural,Software Project Management
Q241,Define software engineering. How software engineering is different from hardware engineering ? Justify.,Evaluate,Conceptual,Software Processes
Q242,Explain process pattern template with an example.,Understand,Conceptual,Software Processes
Q243,What do you mean by evolutionary process models ? Explain spiral model as an evolutionary process model.,Apply,Conceptual,Software Processes
Q244,Explain how extreme programming process supports agility with its framework activities ?,Analyze,Conceptual,Software Processes
Q245,What are requirements engineering tasks ? Explain the elicitation process using quality function deployment,Apply,Procedural,Requirements Engineering
Q246,Explain the analysis model with its elements.,Understand,Conceptual,Software Processes
Q247,How use cases can be used to model the requirements ? Write an usecase for ‘login’ with a template and diagram.,Apply,Procedural,Software Design
Q248,What do you mean by flow modeling ? Explain data flow modeling with an example,Understand,Conceptual,Software Design
Q249,Explain the following design concepts i) Modularity ii) Architecture,Understand,Conceptual,Software Design
Q250,What are the different types of design classes ?,Remember,Conceptual,Software Design
Q251,Explain any two architectural styles with respect to program structure.,Understand,Procedural,Software Design
Q252,Explain the user interface design issues.,Understand,Factual,Software Design
Q253,What do you mean by software architecture ? Explain the system context diagram elements with an example.,Understand,Conceptual,Software Design
Q254,Explain the user interface design process.,Understand,Procedural,Software Design
Q255,Define software testing. Explain the unit testing strategy.,Understand,Procedural,Software Verification and Validation
Q256,What is system testing ? Explain any two system testing strategies,Understand,Conceptual,Software Verification and Validation
Q257,Explain the following : i) Condition testing ii) Loop testing.,Understand,Conceptual,Software Verification and Validation
Q258,Differentiate white box and black box testing. Explain the graph based testing method as a black box testing method.,Understand,Procedural,Software Verification and Validation
Q259,"Explain the role of people, product and process in project management",Understand,Factual,Software Project Management
Q260,Differentiate and explain size and function oriented metrics,Understand,Conceptual,Software Project Management
Q261,Explain the FP based estimation technique.,Understand,Procedural,Software Project Management
Q262,Explain the concept of make buy decision using decision tree analysis.,Apply,Procedural,Software Project Management
Q263,What is software project estimation ? How use cases are used in estimation ?,Apply,Procedural,Software Project Management
Q264,How do you measure software quality in terms of maintainability and integrity ?,Evaluate,Procedural,Software Project Management
Q265,What is a task network in project scheduling ? Explain with an example,Understand,Conceptual,Software Project Management
Q266,How risk projection is carried out using risk table ?,Apply,Procedural,Software Project Management
Q267,What is software configuration management ? Explain the change control mechanism in software configuration management,Understand,Conceptual,Tools and Environments
Q268,Explain earned value analysis in project scheduling,Understand,Conceptual,Software Project Management
Q269,What is a software process model? Explain the types of software process models.,Understand,Conceptual,Software Processes
Q270,Explain the key challenges facing software engineering.,Understand,Conceptual,Software Processes
Q271,With a neat block diagram explain the systems engineering process activities.,Understand,Procedural,Software Processes
Q272,"With a neat block diagram, explain the spiral process model",Understand,Procedural,Software Processes
Q273,Define dependability. Also explain briefly the four principle dimensions of dependability.,Understand,Conceptual,Software Reliability
Q274,With appropriate block diagram explain briefly the requirement engineering process for software specification activities,Understand,Procedural,Requirements Engineering
Q275,For the set of tasks shown below draw the project scheduling using i) Activity chart. ii) Gantt / Bar chart. iii) Staff allocation versus time chart. Assuming start date of project as 01 Nov.2014.,Apply,Procedural,Software Project Management
Q276,Draw a state machine model of a simple microwave oven.,Apply,Procedural,Software Design
Q277,Draw a sequence diagram for withdrawing money from ATM.,Apply,Procedural,Software Design
Q278,Write the IEEE format of writing SRS.,Understand,Procedural,Requirements Engineering
Q279,Differentiate between: i) User requirements and system requirements. ii) Functional requirements and non-functional requirements.,Understand,Factual,Requirements Engineering
Q280,Explain briefly the techniques of requirements discovery.,Understand,Procedural,Requirements Engineering
Q281,List the system structuring styles and explain the repository model with a block diagram.,Understand,Conceptual,Software Design
Q282,"With a neat block diagram, explain the object oriented decomposition for invoice processing sub-system.",Apply,Procedural,Software Design
Q283,Explain briefly: i) Call-Return control model. ii) Broadcast control model.,Understand,Conceptual,Software Design
Q284,With appropriate block diagram explain briefly extreme programming process model.,Understand,Procedural,Software Processes
Q285,"With appropriate block diagram, explain the system evolution process.",Understand,Procedural,Software Evolution
Q286,Explain briefly the software inspection process,Understand,Procedural,Software Verification and Validation
Q287,With a neat block diagram explain the verification and validation process (V-model).,Understand,Procedural,Software Verification and Validation
Q288,Perform the path testing for the following program flow graph by computing Cyclomatic complexity,Apply,Procedural,Software Verification and Validation
Q289,Write short notes on: a. Legacy system.   b. COCOMO model.  c. Capability maturity model   d.  Software testing process,Understand,Conceptual,
Q290,"Define software, software engineering, software process.",Remember,Factual,Software Processes
Q291,What are attributes of good software?,Remember,Factual,Software Processes
Q292,Explain two types of emergent properties?,Understand,Factual,Requirements Engineering
Q293,Explain System dependability.,Understand,Conceptual,Software Reliability
Q294,Explain process iteration.,Understand,Procedural,Software Processes
Q295,Give Software Requirement Document (IEEE STANDARD).,Remember,Procedural,Requirements Engineering
Q296,Explain requirement validation.,Understand,Conceptual,Requirements Engineering
Q297,Explain structured methods.,Understand,Procedural,Software Design
Q298,Explain risk management.,Understand,Conceptual,Software Project Management
Q299,Explain system organization.,Understand,Conceptual,Software Design
Q300,Give state diagram for weather station and explain design evaluation.,Apply,Procedural,Software Design
Q301,Explain extreme programming.,Understand,Conceptual,Software Processes
Q302,Give Lehman's Law.,Remember,Conceptual,Software Evolution
Q303,Explain clean room software development.,Understand,Conceptual,Software Construction
Q304,Explain component Testing.,Understand,Conceptual,Software Verification and Validation
Q305,Give factors governing staff selection.,Evaluate,Procedural,Software Project Management
Q306,Name factors affecting software engineering productivity and cost estimation techniques.,Remember,Procedural,Software Project Management
Q307,What is software? Explain the essential attributes of a good software.,Understand,Factual,Software Processes
Q308, List and explain any five software engineering code of ethics and professional practices.,Understand,Factual,Software Processes
Q309,"Describe briefly the phases of the system engineering process, with a neat diagram.",Understand,Procedural,Software Processes
Q310,Define critical systems. Explain the four principle dimensions of system dependability.,Understand,Conceptual,Software Reliability
Q311,Briefly discuss the reliability terminologies and mention the approaches to system reliability enhancement.,Understand,Procedural,Software Reliability
Q312,"What is software process? With a neat diagram, explain the software design process activities, in detail.",Understand,Procedural,Software Design
Q313,What are the different metrics for specifying non-functional requirements? Explain any two of them.,Understand,Factual,Requirements Engineering
Q314, Write the IEEE standard format for requirement document.,Remember,Factual,Requirements Engineering
Q315,Give reasons why requirement elicitation and analysis is a difficult phase in requirements engineering process.,Understand,Procedural,Requirements Engineering
Q316,What are volatile requirements? Briefly discuss the classification of volatile requirements.,Understand,Factual,Requirements Engineering
Q317,Draw and explain the sequence diagram for ATM system.,Create,Procedural,Software Design
Q318,Mention the weaknesses of structured methods when used to produce system models.,Evaluate,Procedural,Software Design
Q319,"Explain the risk management process, with a neat diagram.",Understand,Procedural,Software Project Management
Q320,"Define architectural design. With an example, describe the repository model and give its advantages and disadvantages.",Understand,Conceptual,Software Design
Q321, Briefly discuss the architectural design decisions.,Understand,Conceptual,Software Design
Q322,Draw and explain the state diagram for weather station system.,Create,Procedural,Software Design
Q323,What is pair programming? Highlight its advantages.,Remember,Conceptual,Software Processes
